run,months,pct_pos,mean%,worst%,best%,sharpe,total%,maxDD_monthly%,intrabar_maxDD%,trades,skipped,final_$
risk 1% (continuous),76,0.658,0.85,-5.58,10.27,1.09,85.6,-6.4,-9.3,337,0,
risk 1.5% (continuous),76,0.658,1.27,-8.27,15.44,1.09,146.4,-9.6,-13.8,337,0,
risk 2% (continuous),76,0.658,1.69,-10.9,20.63,1.09,221.8,-12.8,-18.1,337,0,
risk 3% (continuous),76,0.645,2.51,-15.96,31.1,1.08,422.7,-19.1,-26.4,337,0,
"risk 2%, double costs",76,0.645,1.46,-11.32,20.26,0.93,170.5,-14.9,-19.8,337,0,
"risk 2%, 4h late execution",76,0.618,1.35,-10.7,20.52,0.9,151.5,-11.3,-15.8,341,0,
"$190 real lots, risk 2%, from 2023-09-01",37,0.649,1.59,-9.72,15.45,0.97,69.2,-11.0,-17.1,132,22,321.53
"$190 real lots, risk 3%, from 2023-09-01",37,0.649,1.95,-14.7,19.48,0.84,82.2,-15.1,-23.3,146,0,346.14
"$190 real lots, risk 2%, from 2026-07-22",3,0.667,0.5,-4.91,3.69,0.37,1.3,0.0,-10.7,11,0,192.46
"$190 real lots, risk 3%, from 2026-07-22",3,0.667,2.33,-7.67,7.5,0.93,6.4,0.0,-15.9,11,0,202.11
