risk,breaker,final_$,months,pct_pos,mean%,worst%,best%,sharpe,total%,maxDD_monthly%,maxDD%,trades,skipped,breaker_exits
2%,4%,355.08,37,0.649,1.85,-8.81,15.77,1.17,86.9,-8.1,-12.8,131,24,5
2%,8%,321.53,37,0.649,1.59,-9.72,15.45,0.97,69.2,-11.0,-17.1,132,22,0
2%,10%,321.53,37,0.649,1.59,-9.72,15.45,0.97,69.2,-11.0,-17.1,132,22,0
2%,off,321.53,37,0.649,1.59,-9.72,15.45,0.97,69.2,-11.0,-17.1,132,22,0
3%,4%,349.95,37,0.622,1.92,-10.33,19.69,0.91,84.2,-16.6,-19.7,135,0,11
3%,8%,358.23,37,0.649,2.03,-14.13,19.48,0.89,88.5,-15.1,-21.7,145,0,1
3%,10%,346.14,37,0.649,1.95,-14.7,19.48,0.84,82.2,-15.1,-23.3,146,0,1
3%,off,346.14,37,0.649,1.95,-14.7,19.48,0.84,82.2,-15.1,-23.3,146,0,0
4%,4%,302.93,37,0.486,1.68,-11.54,29.63,0.61,59.4,-20.2,-24.2,132,0,15
4%,8%,576.82,37,0.676,3.55,-16.47,24.62,1.2,203.6,-16.5,-25.5,158,0,4
4%,10%,544.32,37,0.649,3.42,-17.73,26.22,1.13,186.5,-17.4,-27.4,160,0,2
4%,off,447.44,37,0.649,2.91,-19.64,26.36,0.94,135.5,-19.8,-31.1,162,0,0
5%,4%,314.21,37,0.486,1.92,-10.25,29.54,0.6,65.4,-21.6,-26.1,119,0,7
5%,8%,626.68,37,0.703,4.01,-19.0,29.0,1.13,229.8,-17.4,-30.0,148,0,7
5%,10%,635.09,37,0.676,4.11,-21.17,32.26,1.11,234.3,-20.6,-31.7,163,0,4
5%,off,508.02,37,0.703,3.59,-24.15,32.72,0.93,167.4,-27.3,-39.8,166,0,0
