risk,breaker,months,pct_pos,mean%,worst%,best%,sharpe,total%,maxDD_monthly%,maxDD%,trades,breaker_exits
1%,4%,76,0.658,0.85,-5.58,10.27,1.09,85.6,-6.4,-9.3,337,0
1%,8%,76,0.658,0.85,-5.58,10.27,1.09,85.6,-6.4,-9.3,337,0
1%,10%,76,0.658,0.85,-5.58,10.27,1.09,85.6,-6.4,-9.3,337,0
1%,off,76,0.658,0.85,-5.58,10.27,1.09,85.6,-6.4,-9.3,337,0
2%,4%,76,0.658,1.72,-8.48,20.63,1.17,232.3,-16.4,-20.6,321,3
2%,8%,76,0.658,1.69,-10.9,20.63,1.09,221.8,-12.8,-18.1,337,0
2%,10%,76,0.658,1.69,-10.9,20.63,1.09,221.8,-12.8,-18.1,337,0
2%,off,76,0.658,1.69,-10.9,20.63,1.09,221.8,-12.8,-18.1,337,0
3%,4%,76,0.566,1.81,-10.51,30.33,0.83,220.7,-23.5,-28.6,303,28
3%,8%,76,0.645,2.65,-14.51,31.1,1.17,485.7,-17.9,-22.2,335,2
3%,10%,76,0.645,2.53,-15.96,31.1,1.09,430.2,-19.1,-25.3,337,2
3%,off,76,0.645,2.51,-15.96,31.1,1.08,422.7,-19.1,-26.4,337,0
4%,4%,76,0.487,1.91,-9.12,41.3,0.68,206.7,-25.5,-29.7,255,15
4%,8%,76,0.645,3.31,-16.46,40.6,1.13,734.0,-31.3,-38.0,324,6
4%,10%,76,0.645,3.49,-18.61,40.6,1.17,832.8,-23.8,-28.5,335,3
4%,off,76,0.645,3.3,-20.77,40.6,1.08,692.1,-25.3,-34.0,337,0
5%,4%,76,0.421,1.52,-11.33,43.9,0.45,97.2,-42.8,-49.7,232,26
5%,8%,76,0.632,3.9,-18.9,37.71,1.13,1012.8,-35.9,-43.6,318,13
5%,10%,76,0.645,3.96,-20.65,41.45,1.12,1035.1,-38.2,-45.6,324,7
5%,off,76,0.645,3.94,-25.35,41.45,1.07,957.2,-31.3,-41.2,337,0
